beat_index,peak_time_s,ibi_raw_ms,ibi_corrected_ms,bpm_corrected,artifact_flag,artifact_reason
1,2.96875,700.2,700.2,85.69,ok,
2,3.678711,709.96,709.96,84.51,ok,
3,4.348632,669.92,669.92,89.56,ok,
4,5.118164,769.53,769.53,77.97,ok,
5,5.928711,810.55,810.55,74.02,ok,
6,6.728515,799.8,799.8,75.02,ok,
7,7.448242,719.73,719.73,83.36,ok,
8,8.128906,680.66,680.66,88.15,ok,
9,8.848632,719.73,719.73,83.36,ok,
10,9.648437,799.8,799.8,75.02,ok,
11,10.628906,980.47,980.47,61.2,ok,
12,11.658203,1029.3,1029.3,58.29,ok,
13,12.638671,980.47,980.47,61.2,ok,
14,13.478515,839.84,839.84,71.44,ok,
15,14.198242,719.73,719.73,83.36,ok,
16,14.898437,700.19,700.19,85.69,ok,
17,15.628906,730.47,730.47,82.14,ok,
18,16.448242,819.34,819.34,73.23,ok,
19,17.398437,950.2,950.2,63.14,ok,
20,18.348632,950.19,950.19,63.15,ok,
21,19.198242,849.61,849.61,70.62,ok,
22,20.02832,830.08,830.08,72.28,ok,
23,20.888671,860.35,860.35,69.74,ok,
24,21.748046,859.38,859.38,69.82,ok,
25,22.588867,840.82,840.82,71.36,ok,
26,23.408203,819.34,819.34,73.23,ok,
27,24.168945,760.74,760.74,78.87,ok,
28,24.988281,819.34,819.34,73.23,ok,
29,25.888671,900.39,900.39,66.64,ok,
30,26.828125,939.45,939.45,63.87,ok,
31,27.728515,900.39,900.39,66.64,ok,
32,28.548828,820.31,820.31,73.14,ok,
33,29.308593,759.76,759.76,78.97,ok,
34,30.108398,799.81,799.81,75.02,ok,
35,30.918945,810.55,810.55,74.02,ok,
36,31.758789,839.84,839.84,71.44,ok,
37,32.508789,750.0,750.0,80.0,ok,
38,33.208007,699.22,699.22,85.81,ok,
39,33.918945,710.94,710.94,84.4,ok,
40,34.688476,769.53,769.53,77.97,ok,
41,35.598632,910.16,910.16,65.92,ok,
42,36.548828,950.2,950.2,63.14,ok,
43,37.388671,839.84,839.84,71.44,ok,
44,38.178711,790.04,790.04,75.95,ok,
45,38.978515,799.8,799.8,75.02,ok,
46,39.798828,820.31,820.31,73.14,ok,
47,40.678711,879.88,879.88,68.19,ok,
48,41.478515,799.8,799.8,75.02,ok,
49,42.228515,750.0,750.0,80.0,ok,
50,43.008789,780.27,780.27,76.9,ok,
51,43.848632,839.84,839.84,71.44,ok,
52,44.71875,870.12,870.12,68.96,ok,
53,45.558593,839.84,839.84,71.44,ok,
54,46.318359,759.77,759.77,78.97,ok,
55,47.078125,759.77,759.77,78.97,ok,
56,47.838867,760.74,760.74,78.87,ok,
57,48.598632,759.77,759.77,78.97,ok,
58,49.348632,750.0,750.0,80.0,ok,
59,50.068359,719.73,719.73,83.36,ok,
60,50.818359,750.0,750.0,80.0,ok,
61,51.628906,810.55,810.55,74.02,ok,
62,52.498046,869.14,869.14,69.03,ok,
63,53.358398,860.35,860.35,69.74,ok,
64,54.128906,770.51,770.51,77.87,ok,
65,54.888671,759.77,759.77,78.97,ok,
66,55.668945,780.27,780.27,76.9,ok,
67,56.46875,799.8,799.8,75.02,ok,
68,57.21875,750.0,750.0,80.0,ok,
69,57.938476,719.73,719.73,83.36,ok,
70,58.668945,730.47,730.47,82.14,ok,
71,59.438476,769.53,769.53,77.97,ok,
